GEO_ID		CD114	USP_DEM_2016	USP_REP_2016	USP_OTH_2016	USP_MARGIN_2016	USS_DEM_2016	USS_REP_2016	USS_OTH_2016	USS_MARGIN_2016	USC_DEM_2016	USC_REP_2016	USC_OTH_2016	USC_MARGIN_2016	USP_DEM_2012	USP_REP_2012	USP_OTH_2012	USP_MARGIN_2012	USS_DEM_2012	USS_REP_2012	USS_OTH_2012	USS_MARGIN_2012	USC_DEM_2012	USC_REP_2012	USC_OTH_2012	USC_MARGIN_2012	USP_MARGIN_CHANGE	USS_MARGIN_CHANGE	USC_MARGIN_CHANGE		TOTALPOP_2010	TOTALPOP_2015	TOTALPOP_CHANGE			CENSUSAREA	POPDEN_2010	POPDEN_2015	POPDEN_CHANGE		NONWHITE_2010	NONWHITE_2015	NONWHITE_CHANGE	UNEMPLOY_2010	UNEMPLOY_2015	UNEMPLOY_CHANGE	COLLEGE_2010	COLLEGE_2015	COLLEGE_CHANGE	INC_2010	INC_2015	INC_CHANGE
1400000US42003070300		14	1011.679	208.378	48.893	-0.633043855	910.694	305.251	46.465	-0.479593001	957.007	273.157	0	-0.55590149	796.973	323.412	26.104	-0.413053243	802.981	324.787	0	-0.42401806	840.621	118.836	0	-0.752284886	-0.219990612	-0.055574941	0.196383396		2272	2000	-0.1197			0.165	13769.69697	12121.21212	-11.971831		19.3	16.7	-0.026	3.1	2.8	-0.003	78.4	73.5	-0.049	57396	54821	-0.044863754
1400000US42003070500		14	1234.439	214.879	57.061	-0.676828341	1140.959	330.753	37.378	-0.536883817	1169.753	298.353	0	-0.593553871	1013.764	351.356	33.608	-0.473578852	999.081	367.134	0	-0.462553112	1116.514	229.161	0	-0.659411076	-0.203249489	-0.074330705	0.065857205		3197	3106	-0.0285			0.159	20106.91824	19534.59119	-2.846418547		18.3	28.6	0.103	3	3.2	0.002	84.1	88.1	0.04	48521	51250	0.056243688
1400000US42003070600		14	971.796	171.63	38.612	-0.676937628	893.442	255.127	29.61	-0.541781003	924.494	229.753	0	-0.601899767	776.666	264.262	23.938	-0.481191061	775.509	263.369	0	-0.492974151	681.379	133.55	0	-0.672241385	-0.195746567	-0.048806852	0.070341618		1979	2118	0.0702			0.112	17669.64286	18910.71429	7.023749375		20.9	21.9	0.01	4	3.8	-0.002	85.2	79.4	-0.058	42344	47336	0.117891555
1400000US42003070800		14	917.684	152.543	36.314	-0.691470989	839.761	230.227	33.537	-0.552351782	882.342	207.195	0	-0.619664133	648.985	217.606	15.908	-0.488815285	635.949	227.048	0	-0.473815089	337.01	85.711	0	-0.594479574	-0.202655704	-0.078536693	-0.025184559		1946	1850	-0.0493			0.175	11120	10571.42857	-4.933196313		39	33.5	-0.055	14.4	3.1	-0.113	74.7	81.4	0.067	48333	51703	0.069724619
1400000US42003070900		14	1498.786	303.982	62.184	-0.640662065	1389.306	426.953	46.507	-0.516625813	1451.747	372.569	0	-0.591552121	1240.279	486.012	38.151	-0.427481889	1213.507	501.342	0	-0.415293125	1284.615	133.345	0	-0.811919941	-0.213180176	-0.101332688	0.22036782		4587	4488	-0.0216			0.31	14796.77419	14477.41935	-2.158273391		46.8	47	0.002	7.4	4.5	-0.029	77.5	76.6	-0.009	37128	33929	-0.086161388
1400000US42003080200		14	623.984	208.464	43.666	-0.474276179	630.329	198.139	44.668	-0.49498589	699.518	156.913	0	-0.633565343	578.069	222.463	44.275	-0.420931645	603.431	225.891	0	-0.45523934	510.756	163.46	0	-0.515110884	-0.053344534	-0.03974655	-0.118454459		1723	1710	-0.0075			0.133	12954.88722	12857.14286	-0.754497962		7.1	12.6	0.055	5.4	2.9	-0.025	25.9	41.8	0.159	36200	40144	0.108950276
1400000US42003080400		14	587.792	168.58	47.302	-0.521619463	582.94	186.765	37.553	-0.490766273	630.737	165.939	0	-0.583421617	430.645	172.974	28.079	-0.407902194	442.589	183.176	0	-0.414553387	407.495	65.311	0	-0.72373024	-0.113717269	-0.076212886	0.140308623		1419	1551	0.093			0.166	8548.192771	9343.373494	9.302325583		12	24.4	0.124	5.3	2.7	-0.026	40.9	58.2	0.173	37321	32837	-0.120146834
1400000US42003080600		14	895.657	139.125	50.093	-0.697344855	869.906	171.106	39.558	-0.646695725	901.252	155.622	0	-0.705505103	784.812	171.466	29.185	-0.622393738	771.923	203.776	0	-0.582297409	484.591	18.924	0	-0.924832428	-0.074951117	-0.064398316	0.219327325		2253	2055	-0.0879			0.156	14442.30769	13173.07692	-8.788282297		22.9	11.1	-0.118	2.9	5.8	0.029	57.6	67.6	0.1	39330	51509	0.309661836
1400000US42003080700		14	732.784	86.176	32.378	-0.759519721	701.884	123.75	26.395	-0.678537937	716.095	124.925	0	-0.702920263	644.8	103.607	15.043	-0.708878119	623.46	121.113	0	-0.67467797	622.447	25.331	0	-0.921791107	-0.050641602	-0.003859967	0.218870844		1412	1840	0.3031			0.106	13320.75472	17358.49057	30.31161473		36.1	42.6	0.065	10.2	3.9	-0.063	61.3	71.3	0.1	22252	36944	0.660255258
1400000US42003080900		14	936.168	185.475	51.207	-0.640058831	922.544	203.969	42.467	-0.614702561	979.923	175.278	0	-0.696541121	815.238	182.784	30.74	-0.61477193	804.902	207.049	0	-0.59079244	815.759	109.826	0	-0.762688462	-0.025286901	-0.023910121	0.066147341		1864	1701	-0.0874			0.147	12680.27211	11571.42857	-8.744635213		21.7	18.5	-0.032	5.3	5.1	-0.002	39.2	57.8	0.186	34815	49750	0.428981761
