GEO_ID,pop_change,non_white_change,unemploy_change,edu_change,med_income_change,mean_income_change,%change in diff between mean and median
1400000US42003465800,-2.56%,6.5,-2.3,5.7,25.32%,23.45%,16.67%
1400000US42003468700,-10.70%,-2.1,1.3,3.9,-11.11%,-28.03%,-60.11%
1400000US42003468800,-9.98%,2,-5.7,4.7,-27.65%,7.11%,347.27%
1400000US42003468900,12.76%,5.3,4.2,0.3,13.61%,27.71%,52.78%
1400000US42003469000,4.28%,2.7,0.7,4.8,-6.14%,-0.14%,22.27%
1400000US42003470300,5.45%,5.6,1.7,-0.5,-4.00%,10.40%,328.64%
1400000US42003470400,-6.15%,2.7,7.6,5.7,12.06%,9.98%,-3.45%
1400000US42003470501,-15.55%,-6.3,-6.1,8.9,18.47%,10.57%,-17.76%
1400000US42003470502,14.76%,-1.2,-3.2,8,44.61%,27.25%,-23.10%
1400000US42003470600,9.90%,6,-5.7,8.8,43.65%,23.62%,-60.95%
1400000US42003471000,3.04%,1.8,-3.6,-0.7,40.16%,14.16%,-57.77%
1400000US42003472100,-2.46%,-1.8,0.9,2.1,14.39%,21.03%,48.98%
1400000US42003472200,-3.35%,1.4,-5,13.5,53.26%,18.14%,-111.42%
1400000US42003472300,4.13%,3,-0.6,5.8,8.53%,4.02%,-24.02%
1400000US42003472400,-1.55%,1.4,-0.7,15.8,36.60%,18.23%,-94.87%
1400000US42003473100,-1.24%,3.6,0.1,-7.3,1.11%,-2.12%,-9.88%
1400000US42003473200,4.05%,6.3,1,16.2,5.32%,10.98%,27.10%
1400000US42003473300,-0.13%,-3.6,-0.6,-3.1,0.22%,23.76%,139.45%
1400000US42003473401,-4.04%,0.1,-4,0.8,-4.20%,0.06%,5.96%
1400000US42003473402,1.53%,5.5,0,1.3,-6.08%,1.57%,74.53%
1400000US42003473500,2.28%,3.5,-1.1,3,2.44%,-8.91%,-36.13%
1400000US42003473601,0.80%,5,-2.4,-5.6,-12.98%,5.57%,96.24%
1400000US42003473602,2.34%,9.4,-2.4,13.1,30.51%,68.68%,250.79%
1400000US42003474101,-4.87%,-2.3,-0.9,-0.7,-12.34%,6.47%,74.64%
1400000US42003474102,-3.26%,9.4,1.3,4.1,-2.29%,-6.61%,-17.49%
1400000US42003474201,-2.55%,1.5,0.9,-5.9,-9.69%,6.50%,153.16%
1400000US42003474202,7.53%,2,-3.7,8.7,23.87%,20.97%,12.61%
1400000US42003474203,4.75%,5.4,1.3,0.4,-4.01%,-13.97%,-43.82%
1400000US42003475101,-3.81%,5.5,-3.1,7.7,30.33%,43.35%,81.32%
1400000US42003475102,-4.83%,2.6,-5.5,3.9,20.38%,26.50%,81.05%
1400000US42003475200,-2.63%,-1.8,2.1,9.1,5.16%,5.65%,9.10%
1400000US42003475301,8.76%,8.1,-1,8.5,22.48%,20.43%,11.23%
1400000US42003475303,-5.41%,-2.6,3,-2.9,3.52%,2.46%,-2.57%
1400000US42003475304,4.12%,3.2,2.5,2.8,9.99%,13.17%,28.01%
1400000US42003475401,1.74%,-0.1,0.6,5.1,0.81%,-11.56%,-47.70%
1400000US42003475402,0.71%,0.1,-0.4,9.3,2.91%,11.26%,62.30%
1400000US42003476100,1.91%,14,0.4,7.7,4.14%,2.40%,-4.00%
1400000US42003476200,-2.95%,4,0.5,-3.7,7.98%,20.61%,136.57%
1400000US42003477100,-5.87%,-2.4,2.3,1.9,0.52%,11.03%,89.38%
1400000US42003477200,6.07%,-1.2,1.7,4.1,19.73%,22.46%,32.70%
1400000US42003477300,-0.50%,16.7,0,7,24.10%,18.82%,0.28%
1400000US42003478100,3.40%,6.2,0.6,-2.3,11.87%,12.67%,16.24%
1400000US42003478200,-4.65%,-0.9,-1.4,10.4,16.11%,10.77%,-34.20%
1400000US42003479000,1.01%,-0.4,-0.7,3.4,0.67%,16.64%,196.65%
1400000US42003480101,13.69%,4.6,-3.9,6.1,24.66%,28.65%,42.54%
1400000US42003480102,-3.59%,3.6,2.9,1.9,21.05%,10.66%,-48.77%
1400000US42003480200,10.86%,0.7,4.5,-1.6,-2.77%,7.30%,659000.00%
1400000US42003480300,-3.91%,0.2,-0.4,7.4,8.80%,16.37%,55.02%
1400000US42003480400,-10.61%,0.9,-2.1,1.4,19.12%,13.01%,-20.35%
1400000US42003481000,-1.96%,2.3,8.6,-0.7,-11.08%,15.80%,199.10%
