GEO_ID	HC01_VC03	HC01_VC03	TotalPop_1015	StDevPop_1015
1400000US42003468700	1916	1711	-0.106993737	-0.78765482
1400000US42003468800	2584	2326	-0.099845201	-0.742501575
1400000US42003468900	3473	3916	0.127555428	0.693859196
1400000US42003469000	4462	4653	0.042805917	0.158544612
1400000US42003470300	3763	3968	0.05447781	0.232269343
1400000US42003470400	3217	3019	-0.061548026	-0.500600045
1400000US42003470501	4179	3529	-0.155539603	-1.094291515
1400000US42003470502	2615	3001	0.147609943	0.820532191
1400000US42003470600	3171	3485	0.09902239	0.513632186
1400000US42003471000	1285	1324	0.030350195	0.079868882
1400000US42003472100	2483	2422	-0.024567056	-0.267012236
1400000US42003472200	2418	2337	-0.033498759	-0.323428739
1400000US42003472300	1816	1891	0.041299559	0.149029809
1400000US42003472400	1935	1905	-0.015503876	-0.209765269
1400000US42003473100	4681	4623	-0.012390515	-0.190099933
1400000US42003473200	2965	3085	0.040472175	0.143803693
1400000US42003473300	5591	5584	-0.001252012	-0.11974433
1400000US42003473401	3784	3631	-0.040433404	-0.367230954
1400000US42003473402	3652	3708	0.015334064	-0.014979499
1400000US42003473500	3818	3905	0.022786799	0.032095205
1400000US42003473601	3765	3795	0.007968127	-0.061505939
1400000US42003473602	4582	4689	0.023352248	0.035666823
1400000US42003474101	3673	3494	-0.048734005	-0.419661143
1400000US42003474102	3768	3645	-0.032643312	-0.318025364
1400000US42003474201	2625	2558	-0.02552381	-0.273055505
1400000US42003474202	4768	5127	0.075293624	0.363751031
1400000US42003474203	4354	4561	0.04754249	0.188462857
1400000US42003475101	4724	4544	-0.038103302	-0.352513025
1400000US42003475102	1655	1575	-0.048338369	-0.417162132
1400000US42003475200	4901	4772	-0.026321159	-0.278091909
1400000US42003475301	4257	4630	0.08762039	0.441612218
1400000US42003475303	4215	3987	-0.054092527	-0.453507885
1400000US42003475304	5531	5759	0.041222202	0.148541186
1400000US42003475401	3855	3922	0.017380026	-0.002056315
1400000US42003475402	3111	3133	0.007071681	-0.067168282
1400000US42003476100	4874	4967	0.019080837	0.008686744
1400000US42003476200	3427	3326	-0.029471841	-0.297992982
1400000US42003477100	3768	3547	-0.058651805	-0.482306257
1400000US42003477200	4119	4369	0.060694343	0.271535656
1400000US42003477300	6034	6004	-0.004971826	-0.143240286
1400000US42003478100	4201	4344	0.034039514	0.103172223
1400000US42003478200	5510	5254	-0.04646098	-0.405303734
1400000US42003479000	1984	2004	0.010080645	-0.048162363
1400000US42003480101	4499	5115	0.136919315	0.753005563
1400000US42003480102	3207	3092	-0.035859058	-0.338337409
1400000US42003480200	3362	3727	0.10856633	0.573915836
1400000US42003480300	3322	3192	-0.039133052	-0.359017372
1400000US42003480400	5232	4677	-0.106077982	-0.781870513
1400000US42003481000	3467	3399	-0.019613499	-0.235723425
1400000US42003482500	2046	1784	-0.128054741	-0.920685235
1400000US42003483800	3216	3144	-0.02238806	-0.253248752
1400000US42003484300	3133	3568	0.138844558	0.765166228
1400000US42003484500	6128	5613	-0.08404047	-0.642672054
1400000US42003484600	2195	2170	-0.011389522	-0.183777227
1400000US42003485000	1425	1211	-0.150175439	-1.060409133
1400000US42003486700	2660	2226	-0.163157895	-1.142411943
1400000US42003486800	1552	1932	0.244845361	1.434713167
1400000US42003486900	1614	1398	-0.133828996	-0.95715793
1400000US42003487000	1838	1864	0.014145811	-0.022485019
1400000US42003488100	2259	2244	-0.006640106	-0.153777864
1400000US42003488200	3775	3440	-0.088741722	-0.672367195
1400000US42003488300	2270	2233	-0.016299559	-0.21479115
1400000US42003488400	4611	4217	-0.085447842	-0.651561625
1400000US42003488500	2894	3030	0.04699378	0.184996971
1400000US42003488600	4688	5073	0.082124573	0.406898262
1400000US42003489001	4577	4398	-0.039108586	-0.358862834
1400000US42003489002	3682	3886	0.055404671	0.238123799
1400000US42003490002	5165	4817	-0.067376573	-0.53741567
1400000US42003490003	3518	3753	0.066799318	0.310097316
1400000US42003490004	4765	4934	0.035466946	0.112188501
1400000US42003491101	5699	6661	0.168801544	0.954387516
1400000US42003491200	2214	1993	-0.099819332	-0.742338171
1400000US42003492700	2128	1987	-0.066259398	-0.530359112
1400000US42003492800	2646	2605	-0.015495087	-0.209709754
1400000US42003492900	2249	2160	-0.039573144	-0.361797179
1400000US42003494000	1443	1391	-0.036036036	-0.339455277
1400000US42003495000	3414	3356	-0.016988869	-0.21914513
1400000US42003496101	2964	3027	0.021255061	0.022420081
1400000US42003496102	4526	4394	-0.029164825	-0.296053737
1400000US42003496200	5792	5876	0.014502762	-0.020230357
1400000US42003497000	1042	1021	-0.020153551	-0.239134628
1400000US42003498000	2547	2537	-0.003926188	-0.13663558
1400000US42003499300	1502	1595	0.061917443	0.279261285
1400000US42003499400	3034	2859	-0.057679631	-0.476165587
1400000US42003500300	3840	3785	-0.014322917	-0.202305819
1400000US42003501000	1543	1682	0.090084251	0.457175033
1400000US42003503002	5898	5984	0.014581214	-0.019734823
1400000US42003504100	5350	5575	0.042056075	0.153808287
1400000US42003507000	2289	2140	-0.065093927	-0.522997493
1400000US42003508000	2109	1766	-0.162636321	-1.139117455
1400000US42003509400	5415	5324	-0.016805171	-0.21798481
1400000US42003510000	1984	1827	-0.079133065	-0.611674757
1400000US42003512000	2774	2454	-0.115356885	-0.840480084
1400000US42003512800	1274	1411	0.107535322	0.567403545
1400000US42003512900	1031	964	-0.064985451	-0.522312308
1400000US42003513800	2029	1989	-0.019714145	-0.236359149
1400000US42003514000	2036	2190	0.075638507	0.365929459
1400000US42003515100	2486	2464	-0.008849558	-0.167733714
1400000US42003515200	2227	2396	0.075886843	0.36749806
1400000US42003515300	1902	1863	-0.020504732	-0.241352839
1400000US42003515401	2426	2209	-0.08944765	-0.676826145
1400000US42003516100	1404	1373	-0.022079772	-0.251301474
1400000US42003516200	1733	1720	-0.007501443	-0.159218437
1400000US42003517000	1863	1733	-0.069779925	-0.55259628
1400000US42003518001	3514	3479	-0.009960159	-0.174748756
1400000US42003519000	3076	3009	-0.021781534	-0.249417677
1400000US42003520001	3243	3224	-0.005858773	-0.148842624
1400000US42003520002	3173	3112	-0.019224708	-0.233267657
1400000US42003521100	4691	4637	-0.011511405	-0.184547094
1400000US42003521200	4449	4358	-0.020454035	-0.241032613
1400000US42003521301	4219	4250	0.007347713	-0.065424747
1400000US42003521302	4036	4225	0.046828543	0.183953262
1400000US42003521401	2698	2871	0.064121572	0.293183512
1400000US42003521402	3941	4004	0.01598579	-0.01086291
1400000US42003521500	4274	4221	-0.012400562	-0.190163392
1400000US42003522000	3339	3270	-0.02066487	-0.242364339
1400000US42003523100	4100	3978	-0.029756098	-0.299788468
1400000US42003523200	4371	3901	-0.107526882	-0.791022393
1400000US42003523300	4153	4061	-0.022152661	-0.251761871
1400000US42003523400	5142	5002	-0.02722676	-0.283812077
1400000US42003523501	4573	4830	0.056199431	0.243143847
1400000US42003523502	1332	1462	0.097597598	0.504632578
1400000US42003523600	4967	4876	-0.018320918	-0.227558926
1400000US42003523701	4183	4302	0.028448482	0.067856842
1400000US42003523702	4946	5029	0.016781237	-0.005838523
1400000US42003523800	5016	4798	-0.043460925	-0.386354088
1400000US42003524000	2655	2560	-0.035781544	-0.337847796
