GEO_ID	CLINTON	TRUMP	OTHERS_USP	MCGINTY	TOOMEY	OTHERS_USS	DEM_USC	REP_USC	OTHERS_USC
1400000US42077001800	906.924	181.324	17.972	855.61	175.4	39.33	819.174	219.505	30.187
1400000US42101001800	2509.306	299.074	67.522	2394.867	414.404	24.118	2342.104	427.904	0
1400000US42107001800	744.135	954.222	64.812	793.57	855.048	103.645	914.924	830.666	0
1400000US42011001900	556.362	104.159	17.157	508.133	93.989	19.287	493.422	88.313	10.65
1400000US42049001900	296.55	151.755	18.78	286.753	151.558	20.168	0	250.57	0
1400000US42077001900	1325.029	524.703	44.877	1301.777	498.644	61.605	1217.356	576.442	46.744
1400000US42101001900	1714.313	135.537	49.107	1610.244	250.388	17.941	1599.653	248.67	0
1400000US42107001900	572.826	735.669	63.564	608.513	644.158	111.642	716.304	640.071	0
1400000US42011002000	1157.192	337.273	61.515	1094.399	321.344	48.438	1075.683	305.699	36.006
1400000US42049002000	485.524	243.031	50.987	469.841	268.874	36.062	0	421.947	0
1400000US42075002000	246	1259	62	282	1172	99	215	1113	62
1400000US42077002000	1158.464	274.891	58.024	1117.693	299.401	56.775	1064.408	359.682	43.775
1400000US42101002000	1204.9	44.992	40.154	1165.691	68.852	21.761	1182.875	71.433	0
1400000US42107002000	67.433	114.445	8.048	76.959	93.627	17.724	88.085	98.073	0
1400000US42011002100	571	105	24	502	100	21	504	87	17
1400000US42049002100	904.124	747.252	76.144	916.16	742.364	68.16	0	1035.536	0
1400000US42075002100	359	1769	82	431	1643	119	365	1685	115
1400000US42077002100	1674.682	559.327	85.415	1606.219	590.437	82.979	1490.814	709.358	76.007
1400000US42101002100	1328.28	56.572	37.286	1259.32	102.348	25.388	1277.81	97.348	0
1400000US42107002100	191	448	19	246	356	46	282	365	0
1400000US42011002200	388.492	44.378	8.432	361.49	49.344	8.047	366.892	42.697	3.835
1400000US42049002200	997.76	724.208	118.236	1003.976	716.192	98.548	0	1080.912	0
1400000US42075002200	614	2189	99	644	2061	177	551	2139	121
1400000US42101002200	1199.782	80.359	51.527	1180.757	113.213	19.855	1188.757	106.259	0
1400000US42107002200	433	860	45	499	709	113	601	712	0
1400000US42077002201	1263.064	808.868	88.038	1216.1	860.72	89.446	1029.578	1025.612	86.594
1400000US42077002202	1424.052	397.007	62.984	1327.533	458.325	67.635	1176.956	579.226	66.695
1400000US42011002300	445.974	61.07	9.52	409.332	70.512	8.186	403.888	63.048	4.108
1400000US42049002300	487.729	301.972	40.663	489.138	295.364	41.802	0	505.267	0
1400000US42075002300	228	1118	32	249	1066	56	198	1085	51
1400000US42101002300	1953.782	322.359	83.527	1911.757	371.213	34.855	1920.757	339.259	0
1400000US42107002300	456	716	49	517	579	111	589	599	0
1400000US42077002301	2203.972	1529.64	118.775	2029.749	1705.94	114.045	1572.71	2140.69	109.02
1400000US42077002302	3051.562	1748.279	156.202	2803.236	1975.639	155.542	2268.592	2474.462	142.885
1400000US42049002400	701.135	408.425	55.962	669.143	427.813	56.713	0	681.645	0
1400000US42075002400	216	992	41	241	962	52	184	1000	46
1400000US42101002400	1973.406	411.609	72.093	1885.723	459.687	35.754	1903.702	415.54	0
1400000US42107002400	341	709	35	421	540	101	516	543	0
1400000US42011002500	552.808	70.387	11.287	501.568	76.859	10.143	491.212	67.061	5.855
1400000US42049002500	416.184	201.865	24.387	403.077	200.745	30.095	0	330.786	0
1400000US42075002500	723	1007	109	732	1003	91	610	1107	82
1400000US42101002500	2197.581	371.8	62.947	2080.454	440.545	39.561	2086.393	425.191	0
1400000US42107002500	238	816	40	288	707	80	347	717	0
1400000US42011002600	589.906	203.094	22.198	552.502	201.146	16.298	555.854	184.746	11.324
1400000US42049002600	477.723	221.349	26.483	465.173	218.866	32.071	0	357.699	0
1400000US42075002600	317	661	60	370	611	53	286	689	42
1400000US42107002600	377.117	910.304	44.575	428.715	748.717	135.288	515.635	784.97	0
1400000US42011002700	546.634	177.374	19.87	510.058	177.654	14.378	513.066	163.11	9.828
1400000US42049002700	604.124	445.51	48.21	587.096	444.068	50.634	0	624.95	0
1400000US42107002700	144.117	357.304	20.575	157.715	312.717	49.288	213.635	291.97	0
1400000US42075002701	681.46	1866.856	75.116	719.608	1766.084	125.86	648.908	1809.784	119.1
1400000US42101002701	1293.093	166.78	54.656	1256.117	188.353	25.456	1266.557	168.316	0
1400000US42075002702	742.46	1609.856	84.116	757.608	1548.084	115.86	681.908	1610.784	96.1
1400000US42101002702	933.28	350.332	51.243	898.867	351.989	27.117	1004.324	245.236	0
1400000US42049002800	1690.852	1240.984	132.705	1621.22	1270.789	128.612	0	1869.267	0
1400000US42075002800	846	2925	133	892	2796	201	867	2963	0
1400000US42107002800	250	625	33	282	521	90	360	525	0
1400000US42101002801	1102.882	175.868	45.978	1071.299	184.644	17.161	1076.683	166.864	0
1400000US42101002802	2289.506	675.994	99.988	2251.075	668.89	43.647	2343.242	556.025	0
1400000US42011002900	97.884	53.272	5.936	94.76	50.06	5.364	97.892	45.088	2.644
1400000US42049002900	601.583	407.089	45.352	576.645	447.564	24.773	0	609.676	0
1400000US42075002900	283	923	62	302	884	80	296	940	0
1400000US42101002900	1539.498	462.349	62.591	1498.503	462.957	36.82	1581.39	385.97	0
1400000US42107002900	559.094	2384.152	87.011	645.524	2128.415	216.927	755.982	2193.074	0
1400000US42049003000	1354.512	991.933	108.49	1354.561	983.229	100.789	0	1466.476	0
1400000US42075003000	475	1674	96	528	1588	119	512	1688	0
1400000US42107003000	702.466	2097.85	100.757	747.381	1910.591	195.419	852.876	1987.705	0
1400000US42101003001	867.865	76.665	24.643	850.979	90.277	13.481	857.371	66.776	0
1400000US42101003002	1287.856	67.025	41.425	1259.04	82.92	18.113	1267.639	83.294	0
1400000US42075003100	307	1172	58	333	1132	65	293	1222	0
1400000US42101003100	2486.839	75.172	50.35	2411.16	106.688	24.828	2436.168	96.204	0
1400000US42107003100	445	1007	45	452	932	101	524	937	0
1400000US42075003200	990.349	2214.054	116.285	987.282	2188.015	162.893	918.515	2357.757	0
1400000US42101003200	2924.61	80.578	56.571	2790.22	118.992	33.746	2838.9	96.48	0
